experience_level,employment_type,job_title
2,2,44
3,2,8
2,2,67
3,2,44
2,2,35
3,2,28
3,2,98
2,2,14
3,2,35
0,3,67
3,2,113
3,2,28
3,2,35
3,2,35
2,2,91
3,2,35
3,2,35
0,2,28
3,2,35
0,2,28
2,2,8
3,2,35
3,2,67
3,2,67
3,2,91
3,2,35
3,2,35
3,2,91
0,2,111
3,2,78
3,2,67
3,2,67
2,2,44
2,2,91
3,2,35
3,2,4
2,2,28
3,2,64
3,2,44
3,2,35
2,2,67
2,2,28
3,2,91
3,2,4
2,2,69
3,2,33
3,2,91
2,2,35
3,2,91
3,2,91
0,2,91
3,2,67
3,2,91
1,2,35
3,2,91
3,2,67
2,2,67
3,2,44
2,2,4
2,2,89
3,2,14
3,2,35
3,2,35
2,2,35
3,2,31
0,2,35
2,2,86
3,2,67
2,2,28
3,2,67
3,2,91
3,2,67
2,2,67
3,2,67
3,2,28
3,2,67
3,2,28
3,2,91
3,2,35
0,2,28
3,2,91
3,2,28
3,2,33
0,2,113
3,2,35
3,2,91
2,2,67
3,2,67
0,2,95
3,2,91
2,2,44
2,2,69
3,2,67
3,2,60
3,2,35
3,2,91
3,2,33
3,2,28
3,2,35
3,2,113
3,2,28
3,2,22
2,2,8
3,2,67
3,2,91
3,2,35
0,2,0
2,2,67
3,2,35
3,2,33
2,2,28
0,2,28
2,2,91
1,2,35
3,2,64
3,2,28
3,2,35
3,2,67
3,2,67
2,2,67
3,2,67
3,2,35
3,2,35
3,2,67
3,2,67
3,2,28
3,2,4
2,2,38
2,2,28
3,2,33
3,2,0
3,2,33
2,2,35
3,2,67
3,2,35
1,2,4
3,2,91
2,2,113
3,2,28
3,2,91
2,2,91
3,2,91
3,2,35
3,2,58
3,2,28
3,2,28
0,2,28
3,2,33
3,2,113
2,2,113
3,2,4
2,2,69
3,2,8
3,2,28
3,2,35
2,2,58
2,2,8
2,2,35
3,2,35
3,2,35
3,2,91
3,2,48
3,2,28
3,2,91
2,2,28
3,2,67
3,2,28
3,2,91
3,2,33
3,2,91
2,2,91
3,2,91
3,2,89
3,2,112
3,2,28
0,2,28
3,2,35
2,2,91
3,2,4
3,2,35
3,2,28
3,2,67
2,2,67
3,2,91
3,2,35
2,2,11
2,2,67
3,2,67
2,2,89
2,2,28
0,2,0
3,2,67
3,2,35
3,2,33
2,2,28
0,2,25
3,2,91
3,2,35
3,2,67
3,2,89
2,2,35
2,2,60
3,2,113
3,2,28
3,2,91
3,2,8
3,2,35
0,2,28
3,2,67
2,2,44
3,2,35
3,2,35
3,2,91
2,2,67
3,2,67
3,2,91
3,2,67
3,2,35
3,2,67
3,2,67
2,2,91
3,2,35
0,2,112
2,2,35
2,2,69
3,2,8
2,2,35
3,2,67
3,2,113
3,2,91
1,2,113
3,2,91
3,2,67
0,2,91
3,2,92
3,2,35
2,2,0
3,2,35
2,2,35
2,2,28
3,2,35
3,2,67
3,2,67
3,2,35
3,2,112
3,2,33
3,2,60
3,2,112
0,2,111
3,2,28
3,2,35
3,2,35
2,2,0
3,2,91
2,2,41
3,2,92
3,2,60
3,2,35
2,2,28
3,2,91
3,2,98
3,2,35
2,2,112
0,2,28
3,2,28
2,0,67
2,2,113
2,2,45
3,2,91
2,2,35
0,2,28
2,2,35
3,2,113
2,2,91
3,2,28
3,2,112
3,2,116
3,2,1
3,2,28
2,2,33
3,2,67
3,2,91
3,2,91
2,2,28
3,2,113
0,2,91
3,2,67
3,2,67
3,2,58
3,2,67
3,2,92
3,2,28
3,2,4
3,2,35
3,2,67
3,2,67
3,2,35
3,2,35
3,2,113
1,2,82
0,2,28
3,2,35
2,2,35
3,2,28
3,2,35
3,2,35
3,2,67
3,2,67
3,2,91
3,2,33
2,2,91
3,2,4
3,2,109
2,2,35
3,2,91
2,2,4
3,2,28
3,2,35
2,2,35
2,2,112
3,2,89
3,2,35
2,2,28
3,2,91
2,2,35
3,2,35
3,2,35
3,2,28
3,2,35
2,2,35
3,2,35
2,2,91
3,2,91
3,2,91
0,2,35
3,2,67
0,2,91
3,2,67
3,2,67
3,2,8
3,2,67
1,2,104
3,2,28
3,2,89
2,2,58
3,2,91
3,2,67
2,2,14
3,2,8
3,2,67
3,2,28
0,2,67
2,2,35
3,2,89
2,2,44
3,2,35
3,2,91
3,2,28
0,2,112
3,2,67
3,2,28
3,2,35
3,2,28
3,2,35
3,2,4
2,2,67
0,2,76
3,2,67
3,2,35
2,2,67
2,2,14
2,2,91
0,2,28
2,2,112
0,2,113
3,2,67
3,2,33
3,2,58
2,2,44
3,2,67
3,2,28
3,2,113
3,2,4
2,2,67
3,2,113
0,2,28
3,2,4
0,2,58
3,2,33
3,2,67
3,2,91
3,2,35
3,2,91
3,2,67
1,2,58
3,2,28
2,2,98
3,2,58
3,2,28
2,2,28
1,2,82
3,2,8
0,2,28
2,2,35
2,2,67
3,2,113
3,2,67
2,2,28
2,2,32
3,2,67
0,2,60
3,2,91
2,2,45
3,2,67
0,2,67
0,2,28
2,2,40
2,2,35
2,2,54
3,2,35
0,2,113
3,2,98
0,2,35
0,2,67
2,2,4
3,2,35
3,2,91
3,2,35
3,2,89
3,2,35
3,2,91
2,2,28
0,2,28
3,2,28
3,2,35
3,2,58
3,2,8
3,1,25
3,2,67
3,2,28
3,2,91
3,2,28
3,2,91
3,2,64
3,2,67
2,2,67
3,2,101
3,2,91
3,2,8
3,2,1
3,2,91
3,2,11
3,2,4
2,2,67
3,2,67
2,2,91
3,2,67
3,2,35
3,2,113
2,2,91
2,2,67
3,2,33
3,2,67
3,2,33
3,2,8
2,2,35
2,2,67
2,2,35
2,2,32
3,2,67
3,2,28
3,2,35
3,2,112
3,2,35
3,2,112
3,2,28
1,2,28
3,2,91
3,2,60
3,2,91
2,2,113
0,2,35
2,2,67
3,2,35
2,2,28
3,2,91
2,2,113
3,2,28
3,2,8
3,2,91
3,2,67
3,2,58
3,2,67
2,2,67
3,2,21
3,2,67
3,2,67
2,2,69
2,2,35
3,2,67
2,2,67
3,2,64
3,2,67
1,2,64
3,2,35
3,2,91
3,2,91
3,2,91
3,2,35
3,2,67
2,2,67
3,2,35
3,2,67
3,2,113
3,2,4
2,2,35
2,2,67
3,2,8
2,2,48
3,2,91
3,2,91
3,2,67
3,2,4
2,2,35
3,2,67
3,2,113
3,2,8
2,2,64
2,2,91
3,2,67
2,2,35
3,2,67
3,2,35
3,2,91
3,2,91
3,2,52
0,2,28
3,2,67
3,2,67
3,2,35
2,2,28
2,2,28
3,2,28
3,2,112
3,2,33
3,2,67
3,2,91
2,2,89
3,2,63
3,2,67
3,2,58
3,2,67
3,2,28
3,2,67
3,2,67
2,2,35
0,2,112
3,2,91
2,2,67
2,2,35
3,2,91
0,2,91
0,2,67
3,2,91
3,2,67
3,2,35
2,2,67
3,2,45
2,2,91
3,2,8
3,2,67
3,2,91
3,2,67
3,2,35
2,2,35
2,2,44
3,2,35
3,2,67
3,2,67
3,2,35
3,2,113
2,2,32
3,2,69
3,2,35
3,2,35
3,2,28
3,2,67
3,2,4
3,2,92
2,2,35
0,2,113
3,2,35
3,2,91
2,2,35
2,2,67
3,2,35
3,2,91
3,2,93
3,2,67
3,2,91
3,2,35
1,2,58
3,2,35
3,2,28
3,2,0
3,2,91
2,2,35
2,2,67
0,2,35
2,2,35
3,2,98
3,2,35
3,2,28
3,2,35
3,2,113
0,2,98
2,2,28
2,2,38
3,2,67
3,2,91
3,2,91
3,2,35
3,2,113
3,2,35
3,2,0
3,2,8
3,2,28
3,2,35
3,2,67
1,2,58
3,2,91
3,2,28
3,2,4
2,2,35
3,2,98
3,2,8
3,2,89
2,2,89
3,2,35
3,2,0
3,2,113
3,2,58
3,2,91
3,2,35
3,2,0
3,2,8
3,2,91
3,2,91
2,2,112
3,2,91
2,2,67
2,2,28
3,2,67
2,2,35
2,2,91
3,2,67
3,2,28
2,2,8
3,2,35
3,2,28
0,2,111
3,2,67
2,2,28
3,2,91
3,2,35
1,2,35
3,2,67
0,2,28
3,2,91
3,2,91
2,2,35
3,2,91
2,2,35
3,2,35
2,2,28
3,2,28
3,3,19
3,2,28
3,2,91
3,2,113
3,2,67
3,2,28
3,2,35
0,2,91
3,2,28
3,2,35
3,2,58
3,2,28
2,2,67
3,2,113
2,2,4
3,2,0
3,2,91
3,2,67
3,2,35
3,2,89
2,2,97
3,2,8
3,2,28
3,2,67
1,2,78
3,2,28
3,2,28
2,2,35
3,2,33
2,2,67
3,2,64
2,2,28
3,2,67
2,2,35
2,2,4
3,2,8
2,2,44
2,2,91
3,2,35
2,2,35
2,2,0
2,2,67
3,2,67
3,2,28
2,2,28
2,2,35
3,2,91
3,2,67
2,2,35
3,2,35
3,2,112
3,2,35
3,2,35
3,2,114
3,2,28
0,2,111
2,2,35
3,2,98
3,2,35
3,2,35
0,2,32
1,2,35
3,2,35
1,2,35
3,2,28
3,2,8
3,2,67
3,2,67
2,2,44
3,2,67
2,2,35
3,2,67
3,2,35
1,2,91
3,2,8
3,2,91
3,2,67
3,2,98
3,2,67
2,2,35
3,2,8
3,2,67
1,2,82
3,2,67
2,2,28
3,2,33
3,2,91
3,2,28
3,2,67
3,2,4
3,2,35
3,2,28
3,2,28
0,2,112
3,2,67
3,2,64
3,2,64
3,2,8
3,2,67
0,2,91
3,2,91
0,2,91
2,2,67
3,2,35
2,2,67
3,2,35
3,2,35
3,2,35
3,2,91
2,2,67
2,2,58
3,2,58
3,2,18
3,2,8
3,2,35
3,2,67
2,2,4
3,2,67
3,2,64
3,2,35
2,2,113
2,2,8
3,2,91
2,2,91
3,2,33
3,2,111
3,2,28
3,2,35
3,2,91
3,2,28
3,2,91
3,2,35
3,2,28
3,2,67
3,2,35
2,2,35
3,2,35
3,2,112
3,2,35
3,2,91
3,2,31
2,2,112
2,2,35
3,2,35
3,2,63
2,2,28
3,2,33
2,2,91
3,2,113
0,2,28
3,2,8
3,2,0
3,2,35
0,2,8
3,2,91
3,2,67
2,2,35
3,2,35
2,2,64
3,2,67
3,2,91
3,2,44
3,2,28
3,2,67
3,2,91
3,2,35
0,2,67
3,2,4
3,2,44
2,2,35
3,2,67
3,2,28
2,2,91
2,2,67
3,2,67
3,2,35
2,2,91
3,2,28
3,2,8
3,2,67
3,2,4
3,2,35
2,2,28
2,2,64
3,2,113
3,2,35
3,2,67
3,2,8
3,2,113
3,2,28
3,2,91
3,2,35
2,2,28
3,2,91
3,2,35
3,2,35
2,1,67
3,2,35
2,2,67
2,2,67
2,2,35
3,2,28
3,2,35
2,2,113
0,2,91
3,2,4
3,2,67
2,2,91
3,2,35
3,2,67
2,2,28
3,2,14
3,2,113
2,2,28
2,2,35
3,2,91
2,2,28
3,2,44
3,2,67
3,2,67
2,2,67
2,2,91
3,2,112
3,2,28
2,2,91
3,2,91
3,2,28
2,2,113
3,2,91
3,2,67
3,2,89
1,2,58
3,2,28
3,2,91
2,2,35
2,2,91
3,2,0
3,2,8
3,2,28
3,2,8
3,2,67
2,2,28
3,2,113
3,2,67
3,2,91
3,2,35
2,2,67
3,2,28
2,2,35
3,2,67
2,2,67
2,2,35
3,2,67
3,2,67
3,2,33
3,2,35
3,2,67
3,2,67
3,2,4
3,2,35
0,2,28
1,2,67
3,2,67
3,2,35
3,2,35
3,2,35
3,2,67
3,2,8
2,2,58
2,2,35
2,2,28
3,2,67
3,2,35
3,2,67
3,2,91
3,2,35
3,2,8
3,2,67
3,2,28
3,2,28
3,2,50
2,2,28
2,2,96
3,2,35
3,2,67
3,2,8
3,2,91
2,2,28
3,2,67
0,2,111
3,2,67
3,2,91
3,2,67
3,2,35
3,2,0
3,2,64
3,2,35
3,2,4
2,2,32
2,2,67
2,3,67
3,2,35
3,2,91
3,2,98
3,2,35
3,2,67
3,2,67
3,2,35
3,2,28
2,2,89
2,2,91
3,2,64
3,2,113
2,2,4
3,2,78
3,2,28
3,2,35
3,2,28
3,2,35
3,2,113
3,2,67
2,2,28
2,2,58
3,2,35
3,2,91
3,2,91
3,2,28
0,2,28
3,2,67
0,2,67
3,2,35
1,2,35
3,2,35
3,2,35
2,2,67
3,2,35
3,2,35
3,2,113
2,2,54
3,2,67
3,2,67
3,2,113
3,2,33
3,2,33
3,2,4
2,2,33
3,2,33
3,2,67
3,2,67
2,2,35
3,2,8
1,2,91
0,2,91
3,2,28
3,2,4
3,2,67
3,2,91
3,2,35
2,2,8
3,2,91
3,2,35
3,2,28
2,2,112
3,2,91
2,2,112
3,2,35
3,2,91
3,2,91
3,2,28
3,2,8
3,2,113
3,2,35
2,2,63
3,2,67
3,2,35
3,2,28
3,2,67
2,2,67
3,2,67
3,2,75
2,2,35
3,2,91
0,2,67
3,2,35
3,2,11
2,2,35
3,2,91
3,2,67
3,2,70
3,2,91
2,2,35
3,2,91
3,2,67
3,2,67
3,2,113
3,2,28
2,2,91
0,2,35
3,2,58
3,2,67
2,2,4
2,2,67
3,2,67
3,2,45
3,2,67
3,2,67
1,2,58
3,2,78
1,2,58
3,2,28
2,2,91
3,2,67
0,2,28
3,2,35
3,2,67
3,2,79
3,2,67
3,2,8
3,2,35
2,2,111
3,2,35
3,2,35
3,2,67
2,2,28
2,2,91
3,2,89
2,2,35
3,2,58
3,2,91
3,2,28
3,1,90
2,2,28
2,2,67
3,2,58
2,2,91
3,2,28
2,2,113
1,2,35
3,2,67
3,2,35
2,2,67
3,2,35
2,2,8
3,2,0
0,2,91
3,2,98
3,2,35
3,2,67
3,2,35
2,2,67
3,2,67
2,2,4
3,2,58
2,2,67
2,2,35
3,2,111
2,2,58
3,2,67
3,2,35
0,2,28
3,2,91
0,2,28
0,2,28
3,2,28
3,2,35
3,2,52
2,2,91
2,2,0
2,2,67
3,2,91
3,2,11
2,2,35
2,2,91
1,2,82
0,2,5
3,2,91
3,2,67
2,2,113
3,2,1
2,2,44
3,2,8
2,2,22
3,2,4
3,2,28
3,2,64
0,2,28
3,2,67
0,2,18
2,2,32
1,2,35
3,2,67
3,2,91
3,2,35
3,2,67
2,2,35
3,2,67
2,2,28
3,2,28
3,2,28
3,2,4
3,2,35
3,2,35
2,2,91
2,2,69
2,2,28
3,2,35
2,2,28
3,2,67
0,2,35
3,2,91
3,2,33
3,2,8
3,2,91
3,2,67
2,2,67
2,2,89
3,2,111
3,2,113
3,2,35
3,2,35
3,2,35
3,2,75
0,2,35
3,2,60
3,2,32
2,2,4
3,2,91
2,2,91
3,2,8
3,2,35
2,2,35
2,2,67
3,2,67
2,2,114
3,2,91
2,2,69
3,2,112
3,2,33
3,2,35
3,2,33
3,2,67
3,2,1
3,2,89
3,2,35
1,2,67
3,2,4
3,2,35
3,2,28
3,2,91
3,2,67
3,2,91
3,2,35
3,2,35
3,2,91
3,2,28
3,2,4
3,2,45
3,2,58
0,2,28
2,2,8
3,2,64
2,2,44
0,2,23
2,2,91
3,2,91
3,2,65
3,2,67
2,2,4
3,2,4
3,2,35
3,2,67
2,2,35
2,2,67
3,2,35
3,2,35
2,2,91
3,2,28
3,2,64
3,2,35
3,2,91
2,2,35
0,2,8
3,2,114
3,2,91
2,2,28
3,2,67
2,2,28
3,2,113
3,2,35
3,2,45
3,2,4
3,2,67
3,2,91
3,2,67
3,2,35
3,2,54
3,2,91
3,2,35
2,2,35
2,2,64
1,2,28
3,2,112
2,2,35
3,2,67
2,2,53
3,2,35
2,2,44
3,2,28
3,2,67
3,2,91
2,2,67
3,2,35
3,2,35
2,2,67
3,2,35
2,2,35
2,2,91
3,2,111
2,2,41
3,2,91
3,2,67
2,2,69
3,2,64
3,2,113
0,2,113
3,2,28
2,2,91
3,2,4
2,2,35
3,2,67
3,2,98
3,2,35
2,2,35
0,2,28
3,2,35
3,2,8
3,2,28
3,2,28
3,2,35
3,2,67
2,2,35
3,2,33
3,2,33
3,2,28
3,2,91
3,2,35
3,2,28
3,2,91
3,2,91
3,2,35
3,2,58
3,2,35
3,2,28
0,2,80
3,2,28
3,2,67
0,2,46
0,2,35
2,2,91
0,2,112
2,2,67
3,2,67
2,2,67
3,2,112
3,2,8
3,2,35
2,2,35
2,2,91
2,2,35
3,2,98
3,2,35
1,2,28
0,2,46
3,2,37
3,2,91
2,2,67
3,2,91
3,2,35
3,2,91
3,2,33
3,2,67
3,2,91
0,2,91
3,2,91
1,2,61
3,2,67
3,2,35
3,2,67
0,3,8
3,2,28
3,2,35
3,2,35
3,2,35
3,2,35
3,2,28
3,2,28
2,2,67
2,2,35
3,2,67
3,2,35
3,2,35
3,2,33
2,2,67
3,2,35
3,2,8
3,2,28
3,2,91
3,2,33
3,2,28
3,2,35
3,2,33
3,2,35
2,2,35
0,2,113
3,2,91
0,2,28
1,2,35
3,2,28
3,2,67
3,2,28
0,2,21
3,2,60
3,2,28
1,2,35
3,2,35
2,2,35
3,2,28
3,2,112
3,2,35
0,2,28
1,2,35
2,2,35
3,2,91
3,2,112
3,2,113
3,2,33
1,2,91
2,2,35
3,2,91
3,2,14
3,2,67
3,2,35
3,2,67
3,2,91
2,2,69
2,2,112
2,2,35
1,2,35
3,2,60
3,2,35
3,2,91
2,2,91
3,2,113
3,2,35
2,2,67
0,2,91
3,2,35
3,2,35
3,2,67
3,2,91
3,2,91
2,2,75
3,2,67
3,2,28
1,2,44
2,2,113
3,2,64
3,2,28
3,2,89
3,2,91
2,2,35
3,2,67
2,2,89
2,2,67
0,2,113
3,2,67
3,2,35
3,2,60
3,2,67
3,2,91
3,2,67
3,2,91
0,2,28
2,2,69
2,2,35
2,2,67
2,2,67
3,2,4
3,2,35
3,2,67
3,2,28
3,2,91
2,2,91
3,2,35
3,2,67
3,2,4
2,2,67
1,2,104
2,2,4
3,2,58
0,2,111
3,2,67
3,2,35
2,2,90
0,2,28
3,2,91
3,2,44
0,2,28
3,2,32
3,2,67
3,2,67
3,2,67
2,2,67
3,2,28
3,2,35
3,2,33
3,2,111
3,2,67
3,2,35
3,2,67
3,2,67
2,2,89
2,2,58
2,2,89
1,2,35
3,2,33
0,2,28
3,2,4
0,2,35
3,2,92
0,2,41
3,2,113
2,2,67
3,2,67
3,2,35
3,2,45
0,2,35
3,2,33
3,2,67
3,2,35
3,2,28
2,2,28
3,2,91
3,2,45
3,2,35
3,2,35
3,2,91
3,2,67
2,2,28
3,2,28
3,2,91
3,2,67
2,2,28
3,2,91
2,2,35
3,2,91
3,2,35
3,2,35
2,2,67
3,2,91
3,2,91
3,2,33
3,2,8
3,2,28
3,2,112
0,2,89
0,2,67
3,2,35
3,2,91
3,2,67
3,2,67
3,2,67
3,2,98
3,2,67
2,2,112
3,2,112
3,2,35
3,2,28
3,2,33
3,2,75
3,2,28
3,2,67
3,2,67
3,2,91
3,2,67
2,2,67
3,2,67
2,2,35
3,2,35
3,2,35
3,2,67
3,2,60
3,2,91
3,2,67
3,2,35
0,2,28
1,2,44
3,2,35
2,2,67
3,2,44
2,2,28
0,2,0
2,2,14
3,2,67
3,2,33
2,2,113
2,2,28
3,2,35
3,2,67
3,2,91
3,2,28
3,2,98
2,2,4
3,2,74
3,2,67
2,2,28
3,2,67
3,2,67
2,2,67
3,2,67
3,2,28
3,2,35
2,2,32
3,2,35
3,2,75
3,2,91
3,2,67
3,2,87
3,2,67
3,2,28
3,2,35
3,2,89
1,2,58
3,2,91
3,2,91
3,2,67
3,2,35
2,2,67
3,2,0
3,2,14
3,2,67
0,2,28
3,2,67
3,2,98
3,2,35
2,2,67
3,2,91
3,2,67
2,2,54
2,2,70
3,2,35
0,2,28
3,2,91
1,2,83
3,2,28
2,2,67
2,2,91
2,2,46
3,2,35
2,2,28
3,2,91
3,2,67
0,3,67
3,2,104
0,2,35
3,2,67
2,2,91
3,2,67
3,2,67
3,2,67
3,2,67
3,2,35
0,2,67
3,2,35
3,2,35
3,2,35
3,2,91
3,2,63
3,2,28
3,2,33
3,2,67
3,2,28
3,2,91
0,2,35
3,2,91
2,2,8
2,2,91
0,2,28
0,2,28
3,2,67
3,2,28
2,2,67
3,2,67
3,2,35
3,2,28
1,2,35
3,2,28
3,2,35
3,2,28
3,2,44
3,2,35
2,2,58
3,2,28
2,2,8
2,2,67
2,2,67
3,2,28
2,2,28
3,2,91
3,2,89
3,2,44
3,2,35
3,2,8
3,2,8
3,2,112
3,2,31
3,2,67
2,2,35
3,2,91
3,2,69
2,2,69
2,2,28
3,2,35
3,2,33
3,2,91
3,2,28
2,2,28
2,2,35
3,2,89
1,2,89
3,2,35
3,2,91
2,2,58
0,2,111
3,2,92
3,2,91
3,2,8
3,2,35
3,2,60
3,2,28
2,2,69
2,2,39
3,2,35
2,2,28
3,2,4
0,2,112
3,2,35
3,2,28
3,2,35
2,2,91
1,2,35
3,2,91
3,2,89
1,2,35
2,2,64
3,2,91
3,2,67
3,2,35
3,2,35
3,2,28
3,2,35
3,2,35
3,2,28
3,2,67
2,2,35
2,2,98
2,2,35
3,2,67
3,2,35
1,2,4
3,2,8
3,2,67
3,2,91
3,2,4
3,2,33
3,2,1
2,2,35
3,2,35
2,2,98
3,2,33
3,2,35
3,2,35
3,2,91
3,2,67
2,2,35
3,2,91
2,2,0
3,2,28
2,2,35
2,2,4
2,2,64
3,2,67
1,2,40
3,2,25
3,2,113
3,2,45
2,2,112
2,2,67
3,2,35
3,2,67
3,2,91
2,2,32
3,2,8
3,2,67
3,2,91
3,2,35
3,2,67
3,2,109
2,3,67
2,2,35
2,2,44
3,2,50
3,2,67
3,2,89
3,2,35
2,2,28
3,2,35
3,2,37
2,2,35
3,2,35
3,2,28
2,2,91
3,2,35
3,2,28
2,2,113
3,2,67
3,2,91
2,2,91
3,2,91
0,2,89
3,2,113
3,2,67
2,2,35
3,2,67
3,2,28
3,2,67
3,2,28
2,2,113
3,2,28
2,2,78
3,2,58
2,2,67
3,2,91
3,2,35
3,2,91
2,2,35
3,2,91
2,2,35
3,2,0
3,2,33
2,2,43
3,2,33
3,2,28
0,2,28
3,2,67
2,2,113
3,2,28
2,2,4
2,2,47
3,2,91
3,2,8
3,2,8
3,2,54
3,2,35
0,2,28
3,2,8
1,2,35
2,2,67
3,2,4
